2026-02-23 00:16:40,809 [BLOCK] No wallet key — monitor only
2026-02-23 00:16:40,937 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:16:40,938 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:16:46,196 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0x995d8bfc7a3ff0b1ae4591697337496551116be7)
2026-02-23 00:17:33,019 [BLOCK] Wallet: 0xdc118c4e1284e61e4d5277936a64B9E08Ad9e7EE
2026-02-23 00:17:33,021 [BLOCK] Block watcher thread started
2026-02-23 00:17:33,140 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:17:33,140 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:17:38,315 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0xb000c77a5f301dddd55effe89e0c0c08999fe885)
2026-02-23 00:27:29,579 [BLOCK] Block scan took 10.84s — too slow, reduce watched pairs
2026-02-23 00:27:38,803 [BLOCK] Block scan took 9.22s — too slow, reduce watched pairs
2026-02-23 00:27:49,609 [BLOCK] Block scan took 10.80s — too slow, reduce watched pairs
2026-02-23 00:27:58,884 [BLOCK] Block scan took 9.27s — too slow, reduce watched pairs
2026-02-23 00:28:09,619 [BLOCK] Block scan took 10.74s — too slow, reduce watched pairs
2026-02-23 00:28:18,887 [BLOCK] Block scan took 9.27s — too slow, reduce watched pairs
2026-02-23 00:28:29,589 [BLOCK] Block scan took 10.70s — too slow, reduce watched pairs
2026-02-23 00:28:38,816 [BLOCK] Block scan took 9.23s — too slow, reduce watched pairs
2026-02-23 00:28:49,519 [BLOCK] Block scan took 10.70s — too slow, reduce watched pairs
2026-02-23 00:28:59,238 [BLOCK] Block scan took 9.72s — too slow, reduce watched pairs
2026-02-23 00:29:09,000 [BLOCK] Block scan took 9.76s — too slow, reduce watched pairs
2026-02-23 00:29:18,707 [BLOCK] Block scan took 9.71s — too slow, reduce watched pairs
2026-02-23 00:29:29,620 [BLOCK] Block scan took 10.91s — too slow, reduce watched pairs
2026-02-23 00:29:38,630 [BLOCK] Block scan took 9.01s — too slow, reduce watched pairs
2026-02-23 00:29:49,471 [BLOCK] Block scan took 10.84s — too slow, reduce watched pairs
2026-02-23 00:29:59,055 [BLOCK] Block scan took 9.58s — too slow, reduce watched pairs
2026-02-23 00:30:08,714 [BLOCK] Block scan took 9.66s — too slow, reduce watched pairs
